sentiment,genre,count
positive,Action,0
negative,Action,0
neutral,Action,1
positive,Adventure,0
negative,Adventure,0
neutral,Adventure,1
positive,Animation,0
negative,Animation,0
neutral,Animation,0
positive,Biography,0
negative,Biography,0
neutral,Biography,0
positive,Comedy,1
negative,Comedy,1
neutral,Comedy,0
positive,Crime,0
negative,Crime,0
neutral,Crime,0
positive,Documentary,0
negative,Documentary,0
neutral,Documentary,0
positive,Drama,1
negative,Drama,1
neutral,Drama,0
positive,Family,0
negative,Family,0
neutral,Family,0
positive,Fantasy,0
negative,Fantasy,0
neutral,Fantasy,0
positive,Film-Noir,0
negative,Film-Noir,0
neutral,Film-Noir,0
positive,History,0
negative,History,0
neutral,History,0
positive,Horror,0
negative,Horror,0
neutral,Horror,0
positive,Music,0
negative,Music,0
neutral,Music,0
positive,Musical,0
negative,Musical,0
neutral,Musical,0
positive,Mystery,0
negative,Mystery,0
neutral,Mystery,0
positive,Romance,0
negative,Romance,0
neutral,Romance,0
positive,Sci-Fi,0
negative,Sci-Fi,0
neutral,Sci-Fi,0
positive,Short,0
negative,Short,0
neutral,Short,0
positive,Sport,0
negative,Sport,0
neutral,Sport,0
positive,Thriller,0
negative,Thriller,0
neutral,Thriller,0
positive,War,0
negative,War,0
neutral,War,0
positive,Western,0
negative,Western,0
neutral,Western,0
