sentiment,genre,count
positive,Action,123
negative,Action,101
neutral,Action,145
positive,Adventure,113
negative,Adventure,113
neutral,Adventure,123
positive,Animation,20
negative,Animation,4
neutral,Animation,25
positive,Biography,1
negative,Biography,0
neutral,Biography,0
positive,Comedy,472
negative,Comedy,373
neutral,Comedy,351
positive,Crime,55
negative,Crime,33
neutral,Crime,46
positive,Documentary,0
negative,Documentary,0
neutral,Documentary,0
positive,Drama,866
negative,Drama,894
neutral,Drama,844
positive,Family,10
negative,Family,3
neutral,Family,12
positive,Fantasy,5
negative,Fantasy,1
neutral,Fantasy,7
positive,Film-Noir,0
negative,Film-Noir,0
neutral,Film-Noir,0
positive,History,1
negative,History,0
neutral,History,4
positive,Horror,4
negative,Horror,0
neutral,Horror,9
positive,Music,3
negative,Music,2
neutral,Music,2
positive,Musical,6
negative,Musical,2
neutral,Musical,3
positive,Mystery,1
negative,Mystery,0
neutral,Mystery,2
positive,Romance,55
negative,Romance,27
neutral,Romance,37
positive,Sci-Fi,12
negative,Sci-Fi,22
neutral,Sci-Fi,9
positive,Short,0
negative,Short,0
neutral,Short,0
positive,Sport,0
negative,Sport,0
neutral,Sport,0
positive,Thriller,249
negative,Thriller,424
neutral,Thriller,371
positive,War,0
negative,War,1
neutral,War,0
positive,Western,0
negative,Western,0
neutral,Western,0
