sentiment,genre,count
positive,Action,155
negative,Action,148
neutral,Action,190
positive,Adventure,38
negative,Adventure,27
neutral,Adventure,62
positive,Animation,0
negative,Animation,1
neutral,Animation,1
positive,Biography,0
negative,Biography,0
neutral,Biography,0
positive,Comedy,507
negative,Comedy,461
neutral,Comedy,431
positive,Crime,81
negative,Crime,80
neutral,Crime,104
positive,Documentary,0
negative,Documentary,0
neutral,Documentary,0
positive,Drama,822
negative,Drama,839
neutral,Drama,789
positive,Family,3
negative,Family,1
neutral,Family,0
positive,Fantasy,4
negative,Fantasy,1
neutral,Fantasy,4
positive,Film-Noir,0
negative,Film-Noir,0
neutral,Film-Noir,0
positive,History,0
negative,History,0
neutral,History,1
positive,Horror,1
negative,Horror,4
neutral,Horror,6
positive,Music,1
negative,Music,0
neutral,Music,1
positive,Musical,1
negative,Musical,0
neutral,Musical,1
positive,Mystery,3
negative,Mystery,5
neutral,Mystery,6
positive,Romance,56
negative,Romance,82
neutral,Romance,60
positive,Sci-Fi,23
negative,Sci-Fi,24
neutral,Sci-Fi,18
positive,Short,0
negative,Short,0
neutral,Short,0
positive,Sport,0
negative,Sport,1
neutral,Sport,0
positive,Thriller,295
negative,Thriller,325
neutral,Thriller,314
positive,War,0
negative,War,1
neutral,War,4
positive,Western,0
negative,Western,0
neutral,Western,0
